AAPL,MSFT,UNH,KO,DIS,GS,TrendRatio,ExpectedReturn,Risk,Step,currentBest,Info
41,1,2,18,24,14,0.887850844316330656269542487280,51215.566671700398728717118501663208,57684.876913236235850490629673004150,1,45,look right
41,1,2,20,22,14,0.888008202541145430508606750664,48511.422422228904906660318374633789,54629.475587508612079545855522155762,1,45,look letf
41,1,2,20,23,13,0.885321639110701497088484757114,48695.563578979155863635241985321045,55003.245631602840148843824863433838,1,45,look letf
41,1,2,19,24,13,0.884753432788115024010267006815,50048.213044397431076504290103912354,56567.413235889885982032865285873413,1,45,look letf
40,2,2,19,23,14,0.889547693470078115751675795764,49796.975850196278770454227924346924,55980.107885998702840879559516906738,1,45,look right
42,0,2,19,23,14,0.888917785762037726549067429005,49929.028187858632009010761976242065,56168.330736071664432529360055923462,1,45,look letf
40,1,3,19,23,14,0.888588222802371485720129840047,50039.378048927777854260057210922241,56313.348258338213781826198101043701,1,45,look right
42,1,1,19,23,14,0.887512724480629566770062410797,49685.932802778566838242113590240479,55983.346978889414458535611629486084,1,45,look letf
40,1,2,20,23,14,0.890396516140742777523087170266,49480.676260948319395538419485092163,55571.507035329676000401377677917480,1,56,look right
42,1,2,18,23,14,0.888359446648460227002885858383,50244.634590758061676751822233200073,56558.901670171311707235872745513916,1,56,look letf
38,1,2,22,23,14,0.890760723907581097869012864976,48716.717931138584390282630920410156,54691.138286192646773997694253921509,2,58,acc right
34,1,2,26,23,14,0.885808049369651184790086517751,47188.182026578047953080385923385620,53271.340286597725935280323028564453,4,58,acc right
36,1,2,24,23,14,0.889280056910062843833486567746,47952.663917245503398589789867401123,53923.017326919754850678145885467529,2,58,dec right
37,1,2,23,23,14,0.890261476140315033411809508834,48334.381301721507043112069368362427,54292.342864562495378777384757995605,1,58,dec right
39,1,2,21,23,14,0.890799506965980092410006818682,49098.435315614609862677752971649170,55117.268175014483858831226825714111,1,62,acc letf
38,1,2,21,24,14,0.890724032858738912210583293927,50069.367396556925086770206689834595,56211.986596860457211732864379882812,1,62,look right
40,1,2,21,22,14,0.888187102809876893871887659770,48129.181476895217201672494411468506,54188.111181341519113630056381225586,1,62,look letf
38,1,2,21,23,15,0.889503223163565559516996472667,49889.385055874321551527827978134155,56086.795142169430619105696678161621,1,62,look right
40,1,2,21,23,13,0.884717728001903513934678358055,48313.322633645380847156047821044922,54608.742545217122824396938085556030,1,62,look letf
39,0,3,21,23,14,0.890578365363131396748030965682,49341.530700694645929615944623947144,55403.917970290851371828466653823853,1,62,look right
39,2,1,21,23,14,0.889550003371397113305363291147,48856.033116883125330787152051925659,54922.188670359864772763103246688843,1,62,look letf
39,0,2,22,23,14,0.889069288679979474743220180244,48782.828912715165643021464347839355,54869.546765184175455942749977111816,1,62,look right
39,2,2,20,23,14,0.890696373662792750813821385236,49414.734904862576513551175594329834,55478.765116843751457054167985916138,1,62,look letf
39,0,2,21,24,14,0.889207930137169255679907564627,50135.478378133513615466654300689697,56382.176405466394498944282531738281,1,62,look right
