TRI.TO,CSU.TO,IFC.TO,AEM.TO,ENB.TO,TrendRatio,ExpectedReturn,Risk,Step,currentBest,Info
7,23,27,23,20,1.128849961649754707337933723466,42316.788429512445873115211725234985,37486.636725104450306389480829238892,1,80,Local Search add02/miner34
7,22,25,25,21,1.133826176270171792737073701574,41795.270964426817954517900943756104,36862.150335879792692139744758605957,1,80,Local Search add03/miner12
7,22,26,25,20,1.136224375434884414914904482430,41909.714932806287833955138921737671,36885.069392007673741318285465240479,1,80,Local Search add03/miner14
7,23,25,25,20,1.136629329930556320249479540507,42302.818018445250345394015312194824,37217.777954955454333685338497161865,1,80,Local Search add03/miner24
7,22,25,24,22,1.136755415088174459015135653317,41687.917383399195387028157711029053,36672.723815584904514253139495849609,1,80,Local Search add04/miner12
7,22,26,23,22,1.134626522478314081254779921437,41694.797407114594534505158662796021,36747.596306882114731706678867340088,1,80,Local Search add04/miner13
7,23,25,23,22,1.134419151723642826823379436973,42087.900492753586149774491786956787,37100.837401065553422085940837860107,1,80,Local Search add04/miner23
5,24,27,23,21,1.134148664643126913631476782029,41849.900479578340309672057628631592,36899.836665369526599533855915069580,1,80,Local Search add12/miner03
5,24,27,24,20,1.136235492907467614642769149214,41957.464424242352833971381187438965,36926.732782197352207731455564498901,1,80,Local Search add12/miner04
6,24,27,23,20,1.128112338854704077562018937897,42337.117981554627476725727319717407,37529.168437725478725042194128036499,1,80,Local Search add12/miner34
5,24,25,25,21,1.134849263326795476558572772774,41835.930068511137505993247032165527,36864.746200627268990501761436462402,1,80,Local Search add13/miner02
5,24,26,25,20,1.134628147130559039368336016196,41950.374036890607385430485010147095,36972.795133790627005510032176971436,1,80,Local Search add13/miner04
6,24,25,25,20,1.136069687174230180559675318364,42323.147570487431949004530906677246,37254.006552853883476927876472473145,1,80,Local Search add13/miner24
5,24,25,24,22,1.140242141634996597687745634175,41728.576487483500386588275432586670,36596.241240170944365672767162322998,1,80,Local Search add14/miner02
5,24,26,23,22,1.137888532744896652459942743008,41735.456511198943189810961484909058,36677.983220835936663206666707992554,1,80,Local Search add14/miner03
6,24,25,23,22,1.136246200847152110213755804580,42108.230044795731373596936464309692,37059.072244554976350627839565277100,1,80,Local Search add14/miner23
5,22,27,25,21,1.133002960290896421469142296701,41049.723897233132447581738233566284,36230.906128165537666063755750656128,1,80,Local Search add23/miner01
5,23,27,25,20,1.134555418855063280147987825330,41557.270951251586666330695152282715,36628.683148143711150623857975006104,1,80,Local Search add23/miner04
6,22,27,25,20,1.135601774924577034298067701457,41536.941399209412338677793741226196,36577.031065285329532343894243240356,1,80,Local Search add23/miner14
5,22,27,24,22,1.139257451698296952358191447274,40942.370316205473500303924083709717,35937.768285098747583106160163879395,1,80,Local Search add24/miner01
5,23,27,23,22,1.138551160796857031343165544968,41342.353425559900642838329076766968,36311.370844877033960074186325073242,1,80,Local Search add24/miner03
6,22,27,23,22,1.137123126217800983539518711041,41322.023873517740867100656032562256,36339.093736453520250506699085235596,1,80,Local Search add24/miner13
5,22,26,25,22,1.129531719242819365334185022220,40935.279928853728051763027906417847,36240.929963697395578492432832717896,1,80,Local Search add34/miner01
5,23,25,25,22,1.131368190170302767683097044937,41328.383014492683287244290113449097,36529.560733249534678179770708084106,1,80,Local Search add34/miner02
6,22,25,25,22,1.129751072948881107649299337936,41308.053462450545339379459619522095,36563.854154728163848631083965301514,1,80,Local Search add34/miner12
