ENB.TO,CSU.TO,TRI.TO,AEM.TO,TrendRatio,ExpectedReturn,Risk,Step,currentBest,Info
23,32,20,25,0.960721102487041789252941725863,50414.479723320117045659571886062622,52475.666031287270016036927700042725,1,18,dec right
23,32,19,26,0.966356839593236593977110260312,50034.615802371496101841330528259277,51776.542320983935496769845485687256,1,21,look right
25,32,19,24,0.952443280625018595664244003274,49819.908640316149103455245494842529,52307.480827228893758729100227355957,1,21,look letf
21,32,19,28,0.968081192950275171149598918419,50249.226223978897905908524990081787,51906.003948741017666179686784744263,2,23,acc right
17,32,19,32,0.936685349868181860166771457443,50678.850911725916375871747732162476,54104.455587842669046949595212936401,4,23,acc right
19,32,19,30,0.957721935304959082202458375832,50464.143749670613033231347799301147,52691.853333819439285434782505035400,2,23,dec right
20,32,19,29,0.964349100906603085014978660183,50356.790168642903154250234365463257,52218.423931024066405370831489562988,1,23,dec right
22,32,19,27,0.968769108607840934155319700949,50141.872642951246234588325023651123,51758.331471785961184650659561157227,1,27,acc letf
22,31,20,27,0.963332904059501449189895083691,50121.543090909071906935423612594604,52029.306670306832529604434967041016,1,27,look right
22,33,18,27,0.973345283410577133409447014856,50161.011412384694267529994249343872,51534.652982158382656052708625793457,1,29,look letf
22,35,16,27,0.979842270744065380050358271546,50222.324553359685523901134729385376,51255.519437043913058005273342132568,2,30,acc letf
22,39,12,27,0.981231345736575999438855433255,50324.296798418930848129093647003174,51286.882565540385257918387651443481,4,31,acc letf
22,47,4,27,0.940538767530166075481190546270,50547.704542819483322091400623321533,53743.350394324130320455878973007202,8,31,acc letf
22,43,8,27,0.967459814381452232190383710986,50445.732297760172514244914054870605,52142.457544877739564981311559677124,4,31,dec letf
22,41,10,27,0.976167107624790975073381105176,50385.609939393907552585005760192871,51615.762860512819315772503614425659,2,31,dec letf
22,40,11,27,0.979170886458974765176321852778,50365.280387351762328762561082839966,51436.660427568749582860618829727173,1,31,dec letf
22,38,13,27,0.982345505603806623540208420309,50303.967246376800176221877336502075,51208.018929609759652521461248397827,1,36,acc right
22,36,15,27,0.981630302118719710868788297375,50242.654105401823471765965223312378,51182.867925898040994070470333099365,2,36,acc right
22,37,14,27,0.982497843765324785358927783818,50283.637694334633124526590108871460,51179.387327332566201221197843551636,1,38,dec right
22,36,14,28,0.975832857352885052470981008810,49862.790184453195251990109682083130,51097.674984745455731172114610671997,1,38,look right
22,38,14,26,0.983204929233909119545842258958,50683.831167325392016209661960601807,51549.610524041083408519625663757324,1,40,look letf
22,40,14,24,0.968144194491958653969732040423,51504.872150197588780429214239120483,53199.587874640077643562108278274536,2,40,acc letf
22,39,14,25,0.978293275361414527147019271069,51084.024640316158183850347995758057,52217.495435041193559300154447555542,1,40,dec letf
22,38,13,27,0.982345505603806623540208420309,50303.967246376800176221877336502075,51208.018929609759652521461248397827,1,40,look right
22,38,15,25,0.978324008015367341251078414643,51063.695088273998408112674951553345,52195.075118172811926342546939849854,1,40,look letf
23,37,14,26,0.982724301834093316720952770993,50176.380853754861163906753063201904,51058.451246304684900678694248199463,1,40,Local Search 0 1
21,39,14,26,0.981572932165009848226588928810,51191.378221343824407085776329040527,52152.393921899798442609608173370361,1,40,Local Search 0 1
23,38,13,26,0.983116297019769214138307233952,50196.710405797035491559654474258423,51058.771538996923482045531272888184,1,40,Local Search 0 2
21,38,15,26,0.982129382742935042038823212351,51171.048669301664631348103284835815,52102.146181991687626577913761138916,1,40,Local Search 0 2
23,38,14,25,0.980053757152880899994329411129,50576.574326745663711335510015487671,51605.918509688548510894179344177246,1,40,Local Search 0 3
21,38,14,27,0.983184739931174833671434498683,50791.184748353080067317932844161987,51659.858707640822103712707757949829,1,40,Local Search 0 3
22,39,13,26,0.982636118835630956169779892662,50704.160719367522688116878271102905,51600.139408114904654212296009063721,1,40,Local Search 1 2
22,37,15,26,0.982821736819807667551174290566,50663.501615283217688556760549545288,51549.024321764627529773861169815063,1,40,Local Search 1 2
22,39,14,25,0.978293275361414527147019271069,51084.024640316158183850347995758057,52217.495435041193559300154447555542,1,40,Local Search 1 3
22,37,14,27,0.982497843765324785358927783818,50283.637694334633124526590108871460,51179.387327332566201221197843551636,1,40,Local Search 1 3
