TRI.TO,CSU.TO,IFC.TO,AEM.TO,CNR.TO,TrendRatio,ExpectedReturn,Risk,Step,currentBest,Info
20,13,29,31,7,0.977015603549087008339313342731,45500.276584980201732832938432693481,46570.675452568844775669276714324951,2,44,acc right
20,14,29,31,6,0.979151469454617395804518764635,45879.533652173915470484644174575806,46856.421180400815501343458890914917,1,44,dec right
20,15,28,32,5,0.975829555474965082417782014090,46251.700332015781896188855171203613,47397.314492594676266890019178390503,1,44,look right
20,15,30,30,5,0.978856276764048072180912640761,46265.224158102748333476483821868896,47264.573212983457779046148061752319,1,44,look letf
20,15,28,31,6,0.981316255339056531248331793904,46272.636737812877981923520565032959,47153.643370378216786775738000869751,1,50,look right
20,15,30,31,4,0.977750826750913293317069019395,46244.287752305652247741818428039551,47296.597954282893624622374773025513,1,50,look letf
20,15,26,31,8,0.980053618734196274608905241621,46300.985723320154647808521986007690,47243.318975874935858882963657379150,2,50,acc right
20,15,27,31,7,0.981289229839776844244170206366,46287.139704874818562529981136322021,47169.721522809843008872121572494507,1,50,dec right
20,15,28,30,7,0.980074954878938364721818743419,46293.573143609966791700571775436401,47234.727214642764010932296514511108,1,50,look right
20,15,28,32,5,0.975829555474965082417782014090,46251.700332015781896188855171203613,47397.314492594676266890019178390503,1,50,look letf
21,14,28,31,6,0.979432220079796023171070373792,46252.307185770732758101075887680054,47223.591625362780177965760231018066,1,50,Local Search 0 1
19,16,28,31,6,0.982104868662487806574290516437,46313.620326745702186599373817443848,47157.510164692947000730782747268677,1,57,Local Search 0 1
18,17,28,31,6,0.981700757070131491133224699297,46332.759096179193875286728143692017,47196.417811124534637201577425003052,1,57,Local Search 0 1
20,16,27,31,6,0.982787208074276219527121156716,46687.050808959153073374181985855103,47504.740014311093545984476804733276,1,59,Local Search 0 2
21,16,26,31,6,0.982550679222480294328079253319,47059.824342555992188863456249237061,47895.569498558324994519352912902832,1,59,Local Search 0 2
21,16,27,30,6,0.980834020222723368398476395669,47066.914729907737637404352426528931,47986.625422331897425465285778045654,1,59,Local Search 0 3
19,16,27,32,6,0.977862159754365856123570210912,46307.186888010510301683098077774048,47355.536182771043968386948108673096,1,59,Local Search 0 3
21,16,27,31,5,0.982476411653123382627939008671,47045.978324110656103584915399551392,47885.097052814409835264086723327637,1,59,Local Search 0 4
19,16,27,31,7,0.982388178673349821146132399008,46328.123293807620939332991838455200,47158.673424155698739923536777496338,1,59,Local Search 0 4
20,17,26,31,6,0.983502971206076104238036350580,47080.153894598159240558743476867676,47869.864426401742093730717897415161,1,65,Local Search 1 2
20,18,25,31,6,0.983546693851830577948192058102,47473.256980237143579870462417602539,48267.415545182950154412537813186646,1,66,Local Search 1 2
20,19,24,31,6,0.982938487766882640350729616330,47887.671051383382291533052921295166,48718.888971555461466778069734573364,1,66,Local Search 1 2
20,19,25,30,6,0.980693127132219677477564800938,47894.104490118552348576486110687256,48836.994126972545927856117486953735,1,66,Local Search 1 3
20,17,25,32,6,0.979824905390490052958796241001,47073.063507246362860314548015594482,48042.321896774315973743796348571777,1,66,Local Search 1 3
20,19,25,31,5,0.983316985972186974329645181570,47873.168084321456262841820716857910,48685.387079925356374587863683700562,1,66,Local Search 1 4
20,17,25,31,7,0.982704526633382036138186776952,47093.999913043444394133985042572021,47922.848258755220740567892789840698,1,66,Local Search 1 4
20,18,26,30,6,0.981556464581121890233816884574,47480.347367588954512029886245727539,48372.507421517657348886132240295410,1,66,Local Search 2 3
20,18,24,32,6,0.980177508676323250291773092613,47466.823541501951694954186677932739,48426.762623438822629395872354507446,1,66,Local Search 2 3
20,18,26,31,5,0.983552155615079359840535744297,47459.410961791858426295220851898193,48253.069947381074598524719476699829,1,74,Local Search 2 4
20,18,27,31,4,0.982398581705447693224186878069,47445.564943346500513143837451934814,48295.636645750055322423577308654785,1,74,Local Search 2 4
20,18,26,32,4,0.979099705706138689897954918706,47438.474555994740512687712907791138,48451.117163579918269533663988113403,1,74,Local Search 3 4
20,18,26,30,6,0.981556464581121890233816884574,47480.347367588954512029886245727539,48372.507421517657348886132240295410,1,74,Local Search 3 4
21,17,26,31,5,0.983340878443057619939793312369,47439.081409749676822684705257415771,48242.763470650053932331502437591553,1,74,Local Search 0 1
19,19,26,31,5,0.982667862911639877765423989331,47500.394550724624423310160636901855,48338.198839617281919345259666442871,1,74,Local Search 0 1
21,18,25,31,5,0.983539081997159669867869524751,47832.184495388646610081195831298828,48632.723773682009777985513210296631,1,74,Local Search 0 2
19,18,27,31,5,0.982667409208850539670265789027,47086.637428194982931017875671386719,47917.166059373659663833677768707275,1,74,Local Search 0 2
21,18,26,30,5,0.981353997405459477221256747725,47839.274882740472094155848026275635,48748.234591411193832755088806152344,1,74,Local Search 0 3
19,18,26,32,5,0.979085370535848320550087464653,47079.547040843230206519365310668945,48085.231847634328005369752645492554,1,74,Local Search 0 3
21,18,26,31,4,0.983070638690462628161981228914,47818.338476943339628633111715316772,48641.813309205950645264238119125366,1,74,Local Search 0 4
19,18,26,31,6,0.983350662027620225913437934651,47100.483446640333568211644887924194,47897.952648469748964998871088027954,1,74,Local Search 0 4
20,19,25,31,5,0.983316985972186974329645181570,47873.168084321456262841820716857910,48685.387079925356374587863683700562,1,74,Local Search 1 2
20,17,27,31,5,0.983123864565826566241923956113,47066.307876152823155280202627182007,47874.240034788032062351703643798828,1,74,Local Search 1 2
20,19,26,30,5,0.981035573416171535754415344854,47880.258471673267195001244544982910,48805.833110561085049994289875030518,1,74,Local Search 1 3
20,17,26,32,5,0.979481699754664481005761444976,47059.217488801055878866463899612427,48045.019626796711236238479614257812,1,74,Local Search 1 3
20,19,26,31,4,0.982557639446222652601647951087,47859.322065876178385224193334579468,48708.920621542441949713975191116333,1,74,Local Search 1 4
