AAPL,MSFT,UNH,PG,DIS,TrendRatio,ExpectedReturn,Risk,Step,currentBest,Info
23,12,19,21,25,0.832496621189620533698416693369,52766.130625188765407074242830276489,63382.996737917150312568992376327515,1,25,look right
23,14,19,19,25,0.839007400355344823417169664026,52400.878846269995847251266241073608,62455.800537726667243987321853637695,1,30,look letf
23,16,19,17,25,0.839296056950818325503860251047,52035.046692842064658179879188537598,61998.440552534673770423978567123413,2,31,acc letf
23,20,19,13,25,0.820508012230834693490066911181,51305.236321353106177411973476409912,62528.623190238060487899929285049438,4,31,acc letf
23,18,19,15,25,0.833074276545559211371028141002,51670.488100271810253616422414779663,62023.866964815657411236315965652466,2,31,dec letf
23,17,19,16,25,0.837002028578833989769236723077,51853.057583811583754140883684158325,61950.934183342600590549409389495850,1,31,dec letf
23,15,19,18,25,0.839958883422141422414597400348,52218.309362730280554387718439102173,62167.697006767317361664026975631714,1,35,acc right
23,14,19,18,26,0.838449140866105557812204551738,53254.659238900654600001871585845947,63515.670352872424700763076543807983,1,35,look right
23,16,19,18,24,0.838708237577143411733970879141,51181.266300211449561174958944320679,61023.922273690383008215576410293579,1,35,look letf
23,15,18,19,25,0.839447485865332909682479112234,52158.476647538511315360665321350098,62134.293717934793676249682903289795,1,35,look right
23,15,20,17,25,0.836546422684869339647661945492,52278.142077922093449160456657409668,62492.816489654032920952886343002319,1,35,look letf
23,15,18,18,26,0.838644725228173126829744887800,53012.257040169126412365585565567017,63211.817168164845497813075780868530,1,35,look right
23,15,20,18,24,0.835641520475036037041149938887,51424.361685291492904070764780044556,61538.782390873006079345941543579102,1,35,look letf
23,15,19,17,26,0.839005332912483248186674700264,53072.089755360932031180709600448608,63255.962356197429471649229526519775,1,35,look right
23,15,19,19,24,0.839011625362866331201416869590,51364.528970099658181425184011459351,61220.282791534475109074264764785767,1,35,look letf
24,14,19,18,25,0.838917907233945214784398558550,52283.727157958288444206118583679199,62322.816937293202499859035015106201,1,35,Local Search 0 1
22,16,19,18,25,0.840476376820111670262747338711,52151.674820295978861395269632339478,62050.137586981909407768398523330688,1,45,Local Search 0 1
21,17,19,18,25,0.840465688671622968008989573718,52085.733464210214151535183191299438,61972.468556727188115473836660385132,1,45,Local Search 0 1
23,16,18,18,25,0.841041981836761265434176948474,51975.213977650288143195211887359619,61798.596384143653267528861761093140,1,47,Local Search 0 2
24,16,17,18,25,0.839233526294033027603802565864,51798.229574146796949207782745361328,61720.877385442800004966557025909424,1,47,Local Search 0 2
24,16,18,17,25,0.840464252162095748488468416326,51858.062289338588016107678413391113,61701.687080602932837791740894317627,1,47,Local Search 0 3
22,16,18,19,25,0.841204648733113846681419545348,52091.842105104195070452988147735596,61925.290336372352612670511007308960,1,50,Local Search 0 3
21,16,18,20,25,0.840957813474186077762340119079,52207.889858048940368462353944778442,62081.461188125947955995798110961914,1,50,Local Search 0 3
23,16,18,19,24,0.840361941043056281941403540259,51121.433585019629390444606542587280,60832.637805524325813166797161102295,1,50,Local Search 0 4
21,16,18,19,26,0.840144498684300189417228921229,53062.250625188760750461369752883911,63158.481318733101943507790565490723,1,50,Local Search 0 4
22,17,17,19,25,0.840942027351836318693756311404,51849.439906372717814520001411437988,61656.378466003057837951928377151489,1,50,Local Search 1 2
22,15,19,19,25,0.840384695422532912445490183018,52334.937490184223861433565616607666,62274.976894802915921900421380996704,1,50,Local Search 1 2
22,17,18,18,25,0.841943151379704435299800024950,51909.272621564501605462282896041870,61654.130135152263392228633165359497,1,56,Local Search 1 3
22,18,18,17,25,0.841032645075256435340804728185,51726.703138024786312598735094070435,61503.799455247339210473001003265381,1,56,Local Search 1 3
22,18,18,18,24,0.840911366675220373068100343517,50872.922745394178491551429033279419,60497.366026260991930030286312103271,1,56,Local Search 1 4
22,16,18,18,26,0.840178053496848709080779826763,52945.622497734795615542680025100708,63017.145326961792306974530220031738,1,56,Local Search 1 4
22,17,19,17,25,0.838939327359991438015640596859,51969.105336756285396404564380645752,61946.202355651614197995513677597046,1,56,Local Search 2 3
22,17,17,19,25,0.840942027351836318693756311404,51849.439906372717814520001411437988,61656.378466003057837951928377151489,1,56,Local Search 2 3
22,17,19,18,24,0.838508880546523616139609202946,51115.324944125663023442029953002930,60959.789609872343135066330432891846,1,56,Local Search 2 4
